StartDate,HomeTeam,HomePoints,AwayTeam,AwayPoints,HomeFavored,Spread(Generated)
2024-03-21T12:15:00.000Z,Mississippi State,51,Michigan State,69,0,-1
2024-03-21T12:40:00.000Z,BYU,67,Duquesne,71,1,-10
2024-03-21T13:30:00.000Z,Creighton,77,Akron,60,1,-14
2024-03-21T14:00:00.000Z,Arizona,85,Long Beach State,65,1,-14
2024-03-21T14:45:00.000Z,North Carolina,90,Wagner,62,1,-21
2024-03-21T15:30:00.000Z,Illinois,85,Morehead State,69,1,-15
2024-03-21T16:00:00.000Z,South Carolina,73,Oregon,87,1,-1
2024-03-21T16:45:00.000Z,Dayton,63,Nevada,60,1,-2
2024-03-21T18:50:00.000Z,Texas,56,Colorado State,44,1,-2
2024-03-21T19:20:00.000Z,Kentucky,76,Oakland,80,1,-12
2024-03-21T19:35:00.000Z,Iowa State,82,South Dakota State,65,1,-9
2024-03-21T19:47:00.000Z,Gonzaga,86,McNeese,65,1,-9
2024-03-21T21:20:00.000Z,Tennessee,83,Saint Peter's,49,1,-18
2024-03-21T22:10:00.000Z,Texas Tech,67,NC State,80,1,-3
2024-03-21T22:12:00.000Z,Washington State,66,Drake,61,1,0
2024-03-21T22:20:00.000Z,Kansas,93,Samford,89,1,-5
2024-03-22T12:15:00.000Z,Florida Atlantic,65,Northwestern,77,1,0
2024-03-22T12:40:00.000Z,Baylor,92,Colgate,67,1,-17
2024-03-22T13:45:00.000Z,San Diego State,69,UAB,65,1,-3
2024-03-22T14:00:00.000Z,Marquette,87,Western Kentucky,69,1,-14
2024-03-22T15:10:00.000Z,Clemson,77,New Mexico,56,1,-4
2024-03-22T15:22:00.000Z,UConn,91,Stetson,52,1,-19
2024-03-22T16:33:00.000Z,Auburn,76,Yale,78,1,-9
2024-03-22T16:38:00.000Z,Florida,100,Colorado,102,1,-1
2024-03-22T19:00:00.000Z,Nebraska,83,Texas A&M,98,0,-1
2024-03-22T19:10:00.000Z,Duke,64,Vermont,47,1,-14
2024-03-22T19:59:00.000Z,Purdue,78,Grambling,50,1,-23
2024-03-22T20:03:00.000Z,Alabama,109,Charleston,96,1,-12
2024-03-22T21:49:00.000Z,Houston,86,Longwood,46,1,-16
2024-03-22T21:50:00.000Z,Wisconsin,61,James Madison,72,1,-8
2024-03-22T22:30:00.000Z,Utah State,88,TCU,72,1,-1
2024-03-22T22:57:00.000Z,Saint Mary's,66,Grand Canyon,75,1,-3
2024-03-23T12:45:00.000Z,Arizona,78,Dayton,68,1,-3
2024-03-23T15:33:00.000Z,Kansas,68,Gonzaga,89,0,-4
2024-03-23T17:45:00.000Z,North Carolina,85,Michigan State,69,1,-5
2024-03-23T18:10:00.000Z,Iowa State,67,Washington State,56,1,-3
2024-03-23T19:10:00.000Z,NC State,79,Oakland,73,1,-6
2024-03-23T20:25:00.000Z,Tennessee,62,Texas,58,1,-2
2024-03-23T20:49:00.000Z,Illinois,89,Duquesne,63,1,-14
2024-03-23T22:03:00.000Z,Creighton,86,Oregon,73,1,-6
2024-03-24T12:10:00.000Z,Marquette,81,Colorado,77,1,-2
2024-03-24T14:47:00.000Z,Purdue,106,Utah State,67,1,-9
2024-03-24T17:15:00.000Z,Duke,93,James Madison,55,1,-10
2024-03-24T18:10:00.000Z,Baylor,64,Clemson,72,1,-4
2024-03-24T19:10:00.000Z,Alabama,72,Grand Canyon,61,1,-11
2024-03-24T19:45:00.000Z,UConn,75,Northwestern,58,1,-13
2024-03-24T20:40:00.000Z,Houston,100,Texas A&M,95,1,-4
2024-03-24T22:12:00.000Z,San Diego State,85,Yale,57,1,-5
2024-03-28T19:09:00.000Z,Arizona,72,Clemson,77,1,-2
2024-03-28T19:39:00.000Z,UConn,82,San Diego State,52,1,-11
2024-03-28T21:54:00.000Z,North Carolina,87,Alabama,89,0,-3
2024-03-28T22:14:00.000Z,Iowa State,69,Illinois,72,0,-6
2024-03-29T19:09:00.000Z,Marquette,58,NC State,67,1,-5
2024-03-29T19:39:00.000Z,Purdue,80,Gonzaga,68,1,-5
2024-03-29T21:59:00.000Z,Houston,51,Duke,54,1,0
2024-03-29T22:10:00.000Z,Tennessee,82,Creighton,75,0,-2
2024-03-30T18:09:00.000Z,UConn,77,Illinois,52,1,-3
2024-03-30T20:49:00.000Z,Alabama,89,Clemson,82,1,-5
2024-03-31T14:20:00.000Z,Purdue,72,Tennessee,66,1,-6
2024-03-31T17:05:00.000Z,Duke,64,NC State,76,1,-6
2024-04-06T18:09:00.000Z,Purdue,63,NC State,50,1,-10
2024-04-06T20:51:00.000Z,UConn,86,Alabama,72,1,-3
2024-04-08T21:20:00.000Z,UConn,75,Purdue,60,1,-1
