date,team1,team1_score,team2,team2_score,game_type,men_or_women,season,round,team_favorite,spread_favorite,line_favorite,team_dog,spread_dog,line_dog
3/19/2024,WAGNER,71,HOWARD,68,NCAA Tournament,men,23-24,0,2,-2,-140,1,2,120
3/19/2024,CO ST,67,UVA,42,NCAA Tournament,men,23-24,0,1,-1,-120,2,1,100
3/20/2024,GRAMB,88,MONTST,81,NCAA Tournament,men,23-24,0,2,-4,-200,1,4,155
3/20/2024,COLO,60,BOISE,53,NCAA Tournament,men,23-24,0,1,-3,-175,2,3,140
3/21/2024,MICHST,69,MISSST,51,NCAA Tournament,men,23-24,1,1,-1,-120,2,1,100
3/21/2024,DUQSNE,71,BYU,67,NCAA Tournament,men,23-24,1,2,-10,-650,1,10,450
3/21/2024,AKRON,60,CREIGH,77,NCAA Tournament,men,23-24,1,2,-14,-1250,1,14,650
3/21/2024,LBSU,65,ARIZ,85,NCAA Tournament,men,23-24,1,2,-14,-1250,1,14,650
3/21/2024,WAGNER,62,UNC,90,NCAA Tournament,men,23-24,1,2,-21,-5000,1,21,2250
3/21/2024,MOREST,69,ILL,85,NCAA Tournament,men,23-24,1,2,-15,-1750,1,15,700
3/21/2024,OREGN,87,S CAR,73,NCAA Tournament,men,23-24,1,2,-1,-120,1,1,100
3/21/2024,NEVADA,60,DAYTON,63,NCAA Tournament,men,23-24,1,2,-2,-140,1,2,120
3/21/2024,CO ST,44,TEXAS,56,NCAA Tournament,men,23-24,1,2,-2,-140,1,2,120
3/21/2024,OAK,80,UK,76,NCAA Tournament,men,23-24,1,2,-12,-850,1,12,550
3/21/2024,SDAKST,65,IOWAST,82,NCAA Tournament,men,23-24,1,2,-9,-525,1,9,375
3/21/2024,MCNEES,65,GONZ,86,NCAA Tournament,men,23-24,1,2,-9,-525,1,9,375
3/21/2024,ST PTR,49,TENN,83,NCAA Tournament,men,23-24,1,2,-18,-3000,1,18,1000
3/21/2024,NC ST,80,TXTECH,67,NCAA Tournament,men,23-24,1,2,-3,-175,1,3,140
3/21/2024,DRAKE,61,WASHST,66,NCAA Tournament,men,23-24,1,2,0,-110,1,0,-110
3/21/2024,SAMFRD,89,KANSAS,93,NCAA Tournament,men,23-24,1,2,-5,-250,1,5,180
3/22/2024,NW,77,FAU,65,NCAA Tournament,men,23-24,1,2,0,-110,1,0,-110
3/22/2024,COLGAT,67,BAYLOR,92,NCAA Tournament,men,23-24,1,1,-17,-2750,2,17,875
3/22/2024,UAB,65,SDSU,69,NCAA Tournament,men,23-24,1,2,-3,-175,1,3,140
3/22/2024,W KY,69,MARQ,87,NCAA Tournament,men,23-24,1,2,-14,-1250,1,14,650
3/22/2024,N MEX,56,CLEM,77,NCAA Tournament,men,23-24,1,2,-4,-200,1,4,155
3/22/2024,STETSN,52,UCONN,91,NCAA Tournament,men,23-24,1,1,-19,-4000,2,19,1250
3/22/2024,YALE,78,AUBURN,76,NCAA Tournament,men,23-24,1,1,-9,-525,2,9,375
