abbreviation,team_name,region,seed
AKRON,Akron Zips,Midwest,14
ALA,Alabama Crimson Tide,West,4
ARIZ,Arizona Wildcats,West,2
AUBURN,Auburn Tigers,East,4
BAYLOR,Baylor Bears,West,3
BOISE,Boise State Broncos,First Four,10
BYU,Brigham Young Cougars,East,6
C OF C,College of Charleston Cougars,West,13
CLEM,Clemson Tigers,West,6
CO ST,Colorado State Rams,Midwest,10
COLGAT,Colgate Raiders,West,14
COLO,Colorado Buffaloes,South,10
CREIGH,Creighton Bluejays,Midwest,3
DAYTON,Dayton Flyers,West,7
DRAKE,Drake Bulldogs,East,10
DUKE,Duke Blue Devils,South,4
DUQSNE,Duquesne Dukes,East,11
FAU,Florida Atlantic Owls,East,8
FLA,Florida Gators,South,7
GCANYN,Grand Canyon Antelopes,West,12
GONZ,Gonzaga Bulldogs,Midwest,5
GRAMB,Grambling State Tigers,Midwest,16
HOU,Houston Cougars,South,1
HOWARD,Howard Bison,First Four,16
ILL,Illinois Fighting Illini,East,3
IOWAST,Iowa State Cyclones,East,2
JMU,James Madison Dukes,South,12
KANSAS,Kansas Jayhawks,Midwest,4
LBSU,Long Beach State Beach,West,15
LONGWD,Longwood Lancers,South,16
MARQ,Marquette Golden Eagles,South,2
MCNEES,McNeese State Cowboys,Midwest,12
MICHST,Michigan State Spartans,West,9
MISSST,Mississippi State Bulldogs,West,8
MONTST,Montana State Bobcats,First Four,16
MOREST,Morehead State Eagles,East,14
N MEX,New Mexico Lobos,West,11
NC ST,North Carolina State Wolfpack,South,11
NEB,Nebraska Cornhuskers,South,8
NEVADA,Nevada Wolf Pack,West,10
NW,Northwestern Wildcats,East,9
OAK,Oakland Golden Grizzlies,South,14
OREGN,Oregon Ducks,Midwest,11
PURDUE,Purdue Boilermakers,Midwest,1
S CAR,South Carolina Gamecocks,Midwest,6
SAMFRD,Samford Bulldogs,Midwest,13
SDAKST,South Dakota State Jackrabbits,East,15
SDSU,San Diego State Aztecs,East,5
ST PTR,Saint Peter's Peacocks,Midwest,15
STETSN,Stetson Hatters,East,16
STMARY,Saint Mary's Gaels,West,5
TCU,Texas Christian Horned Frogs,Midwest,9
TENN,Tennessee Volunteers,Midwest,2
TEXAS,Texas Longhorns,Midwest,7
TX A&M,Texas A&M Aggies,South,9
TXTECH,Texas Tech Red Raiders,South,6
UAB,Alabama-Birmingham Blazers,East,12
UCONN,Connecticut Huskies,East,1
UK,Kentucky Wildcats,South,3
UNC,North Carolina Tar Heels,West,1
UT ST,Utah State Aggies,Midwest,8
UVA,Virginia Cavaliers,First Four,10
VERMNT,Vermont Catamounts,South,13
W KY,Western Kentucky Hilltoppers,South,15
WAGNER,Wagner Seahawks,West,16
WASHST,Washington State Cougars,East,7
WISC,Wisconsin Badgers,South,5
YALE,Yale Bulldogs,East,13
